;KONE»N… POÿADÕ SPAC 2009;;;;;;;;;;;;;;;;;;;;;;;
;12. roËnÌk;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sta¯ÌË;Mlyn.;Krnov;Bohum.;Velk·;Tour de;Tour de;Memor.;MR SAC;MR SAC;Barto-;5hod.;Stonav.;VC;Paskov.;MokrÈ;Petrov.;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Ëas.;Ëas.;;Ëas.;Polom;S·dek;Javor.;A.Dohn.;Ëas.;siln.;öovice;Bohum.;Ëas.;Laöska;kriù·k;Lazce;Ëas.;celkem;;
51.;MAGNUSEK;Jakub;»ESK¡ SPOÿITELNA MTB;34;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;34;99;0
52.;CIESLAR;Tomasz;CSS;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;34;99;0
53.;ADAM;Josef;GILLETTE  FUSON;33;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;33;99;0
54.;LUKASZ;Andrzej;MLODYNIA;33;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;33;99;0
55.;JOSEFÕK;Luk·ö;CYKLO  MXM  HULÕN;33;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;33;99;0
56.;KAMLER;Josef;»ESK¡ SPOÿITELNA MTB;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;33;99;0
57.;STRZEDULA;Lukasz;MG  LKS  BLEKITNI;32;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;32;99;0
58.;STREIT;Franz Josef;VCR  REGENSBURG;30;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;30;99;0
59.;KOTAS;Wieslaw;TJ  Té  TÿINEC;30;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;30;99;0
60.;BRODZKI;Lukasz;SOKOL KETY;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;99;0
61.;SOKOL¡ÿ;Ji¯Ì;VELOSERVIS  BRUNT¡L;29;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;99;0
62.;KOä¡K;Luk·ö;RACING OLEäN¡,  F-M   2;28;15;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;99;0
