;KONEÈNÉ POØADÍ SPAC 2007;;;;;;;;;;;;;;;;;;;;
;10. roèník;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;TdÈ;Boh;VP;TdJ;FT;KG;ŽD;5hod;VC L;krit;M60;PÈ;2boj;èas;celkem;;
62;BLINKA;Ludìk;SILNÝ TEAM UNIÈOV;33;0;0;0;0;0;0;33;0;0;0;0;0;0;0;33;131;0
63;KØIVÁNEK;Jiøí;AC SPARTA PRAHA;32;0;0;0;0;0;0;32;0;0;0;0;0;0;0;32;131;0
64;ANDRIKOVIÈ;Michael;TJ TŽ TØINEC;32;0;0;0;0;0;3;0;20;0;9;0;0;0;0;32;131;0
65;RODRIÈ;Michal;KC KOOPERATIVA;32;0;0;0;0;0;0;0;0;0;32;0;0;0;0;32;131;0
66;MÍÈEK;Tomáš;KOLOR SERVIS TEAM;31;0;0;0;0;0;0;31;0;0;0;0;0;0;0;31;131;0
67;MÍÈEK;Radomír;KOLOR SERVIS TEAM;30;0;0;0;0;0;0;30;0;0;0;0;0;0;0;30;131;0
68;KUÈA;Petr;;30;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;131;0
69;IVANOV;Nikola;TJ BANÍK OSTRAVA OKD;29;0;0;29;0;0;0;0;0;0;0;0;0;0;0;29;131;0
70;MINDEK;Tomáš;;29;0;0;0;0;0;0;0;0;0;0;0;0;0;29;29;131;0
71;KOVAØÍK;David;SK MAXBIKE ORLOVÁ;28,5;0;0;0;0;0;0;0;28,5;0;0;0;0;0;0;28,5;131;0
72;RÁBL;Matrin;SACHASPORT;28,5;0;0;0;0;0;0;0;28,5;0;0;0;0;0;0;28,5;131;0
73;HERZÁN;Radim;CYKLO KLUB MORAVA;28;0;0;0;0;0;28;0;0;0;0;0;0;0;0;28;131;0
74;SIKORA;Jakub;TJ TŽ TØINEC;28;0;0;0;28;0;0;0;0;0;0;0;0;0;0;28;131;0
75;VITEŠNÍK;Adam;CK STARÁ VES;27;0;0;0;0;0;22;5;0;0;0;0;0;0;0;27;131;0
76;MIL;Robert;BULDOCI RAPOTÍN;27;0;0;0;0;0;15;12;0;0;0;0;0;0;0;27;131;0
77;MATÌJKA;Marek;ETAPE DUKLA BRNO;26;0;0;0;0;0;0;26;0;0;0;0;0;0;0;26;131;0
78;JAVOREK;Petr;SK MAXBIKE ORLOVÁ;26;0;0;0;0;0;0;0;0;0;26;0;0;0;0;26;131;0
79;TYLEÈEK;Martin;YOGI RACING OSTRAVA;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;25;131;0
80;DVOØÁK;Rostislav;PRO-T CYCLING TEAM;25;0;0;0;0;0;0;25;0;0;0;0;0;0;0;25;131;0
81;DIVINSKÝ;Lukáš;DUBNICA SK;25;0;0;0;0;0;0;0;0;1;0;24;0;0;0;25;131;0
82;BOLLO;Roman;;25;0;0;0;0;0;0;0;0;0;0;0;0;0;25;25;131;0
83;DAVÍDEK;Petr;CK FESO PETØVALD;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;24;131;0
84;KECHRT;Tomáš;CYKLO POLACH A SYN;24;0;0;0;0;0;0;24;0;0;0;0;0;0;0;24;131;0
85;ŠUSTR;Vilém;TJ Slezan F-M;24;0;0;0;0;0;0;0;0;24;0;0;0;0;0;24;131;0
86;TICHÝ;Jan;TJ Slezan F-M;24;0;0;0;0;0;0;0;0;0;24;0;0;0;0;24;131;0
87;BRODSKI;Likasz;GK SOSNOWIEC;23;0;0;0;0;0;23;0;0;0;0;0;0;0;0;23;131;0
88;KOCOUREK;František;SK SKIVELO OLOMOUC;23;0;0;0;0;0;0;23;0;0;0;0;0;0;0;23;131;0
89;ÈER;Tomáš;;23;0;0;0;0;0;0;0;23;0;0;0;0;0;0;23;131;0
90;ŠUPKA;David;PRO-T CYCLING TEAM;22;0;0;0;0;0;0;22;0;0;0;0;0;0;0;22;131;0
91;FILGAS;Ondøej;SACHASPORT;22;0;0;0;0;0;0;0;22;0;0;0;0;0;0;22;131;0
92;KEPRT;Jan;;22;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;131;0
93;CIGÁNEK;Antonín;SKI VELO OLOMOUC;21;0;0;0;0;0;21;0;0;0;0;0;0;0;0;21;131;0
94;CHADIM;Michal;ETAPE DUKLA BRNO;21;0;0;0;0;0;0;21;0;0;0;0;0;0;0;21;131;0
